gehen-lassen	in Ruhe lassen	6460	
sauig	unsittlich	6510	
Piensche	verwöhnter Mensch	6110	
um-ändern	verändern	9800	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 6, Kennung -, Zeile 8668); 1 weitere Kandidat(en) ignoriert
putzen	von Flecken reinigen (Kleider)	5932	
ein-nehmen	für sich einnehmen, einen günstigen Eindruck auf jemand machen	7020	
fort	immerzu, ununterbrochen, ohne Ende	9400	
Trumm, Trummen	großes Bündel, großer Ballen	9220	
Werk-axt	Holzaxt	7520	
Kavalier	modisch gekleideter Herr	5140	
Rot-käppchen	Birkenpilz (Boletus rufus Schaeff)	3510	
Strängel	Katharrh mit Husten und Schleimaussonderung bei Pferden	4112	
Zahn	Kau-, Beißwerkzeug im Mund von Lebewesen	5360	
Konferenz-zimmer	Zimmer, in dem die Lehrer beraten	8400	
bausen	durch Schlagen, Stoßen eine Beule machen	9800	
Klein-beere	eine Art Weinbeeren	7470	
um-gehen	mit jemanden verkehren, Umgang haben	7010	
unter-bringen	eine gesicherte Position, Arbeitsstelle verschaffen	7500	
schlaudern	schleudern	9800	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 5, Kennung 1a, Zeile 11410); 1 weitere Kandidat(en) ignoriert
Doppel-hochzeit	die gleichzeitige Heirat zweier Geschwister	7321	
pfeffern	mit Pfeffer würzen	7740	
Tropfs-bier	Bier, das nach dem Einschenken vom Hahn abtropft	5920	
Schnäke	wer wählerisch ist beim Aussuchen eines Ehepartners	6110	
fahren	sich mit einem Fahrzeug fortbewegen	7820	
häuseln	im Haus herumwirtschaften, aufräumen	7780	
Neujahr(s)-woche	erste Januarwoche	9600	
Stink-blume	Ringelblume (Calendula officinalis)	3800	
ge-mütlich	umgänglich	6280	
schwafen	schwafeln	7210	
Umschlag-tuch	Tuch, das als Frauenkleidung um Rücken und Brust geschlungen wird	5934	
Suppen-wasser	Wasser zur Suppenbereitung	5910	
brr	Aufforderung zum Halten für Ochsen	7403	
friesen	Entwässerungsgräben ziehen; Wiesen durch Stauen unter Wasser setzen	7900	
mulbig, mülbig	schäbig, schlampig (von der Bekleidung)	5932	
aus-treten	seine Notdurft verrichten	5340	
Sünden-schande	Unrecht, Fehler	6520	"eindeutig ueber Volltext ""(RA) Unrecht, Fehler"" (fuehrender Klammerzusatz entfernt)"
Rispen-gräsel	Riedgras (Carex stricta)	3600	
unter-würfig	übertrieben untertänig, speichelleckerisch	6280	
schlecken	gern Leckereien essen, naschen	5910	
ab-säckeln	aus dem Sack locken, abgewinnen	7390	
Brei-maul	von einem geschwätzigen Mund	6110	
aus-tupfen	tupfend leer machen	5520	
herum-knozen	an jemand (an etwas) herumdrücken	5520	
Ober-schule	die oberen Jahrgänge der Volksschule	8400	
Babel, Bäbel	dünner Straßenkot	7810	MEHRDEUTIG (7 Treffer) - erster Treffer gewaehlt (Band 1, Kennung '1, '1, Zeile 6041); 6 weitere Kandidat(en) ignoriert
Grund-eis	Eis am Boden eines Gewässers	2600	
Kreuz	in Kreuzform errichteter Garbenhaufen	7440	
um-springen	behandeln, umgehen	7020	
Hepe, Häpe, Hippe	großes, schlechtes Messer	7530	
Kaffee-kanne	Henkeltopf, in dem man Kaffee auf die Arbeitsstätte mitnimmt	7735	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 4, Kennung 2, Zeile 98); 1 weitere Kandidat(en) ignoriert
Trupp-metzger	Metzger, der Schweine wagenweise schlachtet	7565	
Stein-pilz	eine blaue, dünne Pflaume	3120	
Bruder-leipzig	für Bruderherz	7351	"eindeutig ueber Volltext ""(sch) für Bruderherz"" (fuehrender Klammerzusatz entfernt)"
Pfarr-kind	Glied der Pfarrgemeinde	8820	
Sudel	Sumpfgelände	2700	
Wäsche-leine	dickere Schnur an der die zu trocknende Wäsche aufgehängt wird	7770	
Lauter-spring	die Quelle der Lauter	8140	
um-wärgeln	auf die andere Seite wälzen	9800	
Grundbirn(en)-brühe	beliebte Mittagssuppe aus Kartoffeln	5911	
Trocken-schnitzel	trockenes Mischfutter	7450	
Milch-süffer	wer viel Milch trinkt	5920	
Saiter-maul	speicheltriefender Mund	5210	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 5, Kennung 1, Zeile 7655); 1 weitere Kandidat(en) ignoriert
Frosch(en)-, Frösch(en)-natur	ruhige Wesensart	6280	
Halb-acker	Flächenmaß von einem halben Morgen	9360	
über-weißeln	übertünchen	7590	
