in Ruhe lassen	6460
unsittlich	6510
verwöhnter Mensch	6110
verändern	9800
von Flecken reinigen (Kleider)	5932
für sich einnehmen, einen günstigen Eindruck auf jemand machen	7020
immerzu, ununterbrochen, ohne Ende	9400
großes Bündel, großer Ballen	9220
Holzaxt	7520
modisch gekleideter Herr	5140
Birkenpilz (Boletus rufus Schaeff)	3510
Katharrh mit Husten und Schleimaussonderung bei Pferden	4112
Kau-, Beißwerkzeug im Mund von Lebewesen	5360
Zimmer, in dem die Lehrer beraten	8400
durch Schlagen, Stoßen eine Beule machen	9800
eine Art Weinbeeren	7470
mit jemanden verkehren, Umgang haben	7010
eine gesicherte Position, Arbeitsstelle verschaffen	7500
schleudern	9800
die gleichzeitige Heirat zweier Geschwister	7321
mit Pfeffer würzen	7740
Bier, das nach dem Einschenken vom Hahn abtropft	5920
wer wählerisch ist beim Aussuchen eines Ehepartners	6110
sich mit einem Fahrzeug fortbewegen	7820
im Haus herumwirtschaften, aufräumen	7780
erste Januarwoche	9600
Ringelblume (Calendula officinalis)	3800
umgänglich	6280
schwafeln	7210
Tuch, das als Frauenkleidung um Rücken und Brust geschlungen wird	5934
Wasser zur Suppenbereitung	5910
Aufforderung zum Halten für Ochsen	7403
Entwässerungsgräben ziehen; Wiesen durch Stauen unter Wasser setzen	7900
schäbig, schlampig (von der Bekleidung)	5932
seine Notdurft verrichten	5340
Unrecht, Fehler	6520
Riedgras (Carex stricta)	3600
übertrieben untertänig, speichelleckerisch	6280
gern Leckereien essen, naschen	5910
aus dem Sack locken, abgewinnen	7390
von einem geschwätzigen Mund	6110
tupfend leer machen	5520
an jemand (an etwas) herumdrücken	5520
die oberen Jahrgänge der Volksschule	8400
dünner Straßenkot	7810
Eis am Boden eines Gewässers	2600
in Kreuzform errichteter Garbenhaufen	7440
behandeln, umgehen	7020
großes, schlechtes Messer	7530
Henkeltopf, in dem man Kaffee auf die Arbeitsstätte mitnimmt	7735
Metzger, der Schweine wagenweise schlachtet	7565
eine blaue, dünne Pflaume	3120
für Bruderherz	7351
Glied der Pfarrgemeinde	8820
Sumpfgelände	2700
dickere Schnur an der die zu trocknende Wäsche aufgehängt wird	7770
die Quelle der Lauter	8140
auf die andere Seite wälzen	9800
beliebte Mittagssuppe aus Kartoffeln	5911
trockenes Mischfutter	7450
wer viel Milch trinkt	5920
speicheltriefender Mund	5210
ruhige Wesensart	6280
Flächenmaß von einem halben Morgen	9360
übertünchen	7590
stark anfahren, hart anlassen	6333
mit dem Pflug noch vor dem (schmäler werdenden) Ackerende wenden	7404
dummes, rohes Frauenzimmer	6137
energisch durchgreifen, um Ordnung zu schaffen	6420
Bewegung, Zuckung	5500
nach innen gebogene Queraxt zum Zuhauen der Radkränze	7520
mager, dünn, knochig (von Beinen)	5210
ausgekochter Fettwürfel	5911
ausgewachsen, zur vollen Höhe herangewachsen	3020
wer bei einer Gerichtsverhandlung zuhört, ob alles richtig zugeht	8300
mit etwas in Berührung kommen	9312
eine Pferdekrankheit mit Fußschwäche und falschem Stehen als Merkmal	4112
leise furzen	5340
Lattenrost zum Abladen der Kartoffeln und Rüben	7800
Gelbrandkäfer (Dytiscus marginalis)	4700
in Art eines Besens	9220
Spinnfäden ziehen, ein Netz oder Kokon weben (von Spinnen, Rauben)	4700
Druck auf der Brust während des Schlafens	5700
Hundepeitsche	7450
Hausgrille	4700
unangenehme Nachwehen eines Rausches	5925
sehnige, schlecht genießbare Teile im Fleisch	5910
große Menge getrunkenen Alkohols	5925
durch Genuß von zuviel Schnaps eintretende Bewußtseinsverwirrung	5925
dürres Holz (Kiefer, Föhre)	7550
der aus Erde, Asche, Dung, Speiseresten und Jauche hergerichtete Kompost	7480
gut gemästetes, fettes Schwein	4113
Kotklümpchen an Schwanz und Hinterteil der Kühe	4111
Wasserbehälter beim Küchenherd	7740
Sicherungsverwahrung	8300
aufrecht auf den Füßen (Wurzeln, einer Basis usw.) stehen	9230
lang ausbleiben	5920
Trockenheit, Dürre	2200
Zuchtsau, Muttersau	4113
Schüssel, Becken zur Körperwäsche	5940
alte Uhr	7500
schlecht funktionierende Einrichtung, alte Maschine	7500
aufdrehen	5520
Werkzeug des Schusters	7540
Feldlerche (Alauda croensis)	4210
einen Vordruck	8400
irdene Kanne	7735
Wagen, auf dem ein Wasserfaß mit Gießwasser steht	7403
Scheltwort des Schäfers für das Schaf	4114
Ehering	5938
weibliche Person, die schlecht schreibt und malt	8400
Spindel der Kelter	7470
herausholen (Worte)	7200
Lippe, herabhängende oder vorstehende Unterlippe	5200
älterer Tuchstoff	5931
Neckn	8150
Hanf oder Flachs in der Röze mürbe machen	7490
zuverlässig, treu	6510
hügeliges Land	2800
widersprechen, frech antworten	6440
herbeitragen, heranbringen	7800
Gerümpel, Abfälle, Schmutz	9320
